index,singular_value
0,1368.918822684725
1,1289.3972668666513
2,995.9321129792014
3,787.1192997690245
4,760.6122427690956
5,726.551217928217
6,709.713877119226
7,673.4973318600751
8,647.808664602687
9,632.151420181628
10,556.1662283434395
11,505.6528301401976
12,501.8348772062102
13,473.6136112835852
14,435.3209325498506
15,419.0031073193467
16,414.1216334278032
17,407.6473258007553
18,393.0769133749865
19,383.6341751292915
20,376.9669758134942
21,373.8226593475926
22,365.2712904932744
23,352.04945267814236
24,341.89966159111486
25,333.2396529019202
26,320.4969274878177
27,310.4099208322027
28,291.1455187049985
29,271.7985608230735
30,261.229498899828
31,257.6372086086109
32,255.74599552028928
33,231.8339006279655
34,225.3205875208422
35,219.3706230310106
36,213.96941818324066
37,208.48668383429018
38,195.33815248159496
39,185.6770348092559
40,180.25970525634597
41,164.7569116100995
42,164.2599558059505
43,152.33261874311998
44,147.90770601873916
45,147.36942376024305
46,128.06769809016947
47,124.18204777010615
48,112.35677457254523
49,110.19844500302767
50,109.86068793906821
51,81.58862016644203
52,77.6547884319147
53,76.6874843861624
54,75.5839228653962
55,69.99428919407812
56,65.12346806149631
57,61.05559102140663
58,53.272818764997204
59,51.362585954213664
60,49.8926332229561
61,49.41600138823769
62,46.53936708908557
63,37.38374614063422
64,26.245081228426503
65,19.725110890418414
66,15.277113521986442
67,15.134422713372832
68,14.767127048193482
69,11.783964991089835
70,8.428746005397475
71,1.5632555878021984e-13
72,6.785444407980509e-14
73,4.863788713272088e-14
74,2.394786537055485e-14
75,2.180007651071558e-14
76,1.7577872176809476e-15
77,2.943664886630022e-32
